
Gurobi 13.0.1 (linux64) logging started Thu Apr 23 04:30:29 2026

Set parameter LogFile to value "experiments/20260422_213746/logs/Inst_07_Medium_Inspire_16__drone_index.log"
Set parameter LogToConsole to value 0
Set parameter TimeLimit to value 1800
Gurobi Optimizer version 13.0.1 build v13.0.1rc0 (linux64 - "Ubuntu 24.04.4 LTS")

CPU model: Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads

Non-default parameters:
TimeLimit  1800
LogToConsole  0
LazyConstraints  1

Optimize a model with 14340 rows, 13716 columns and 65060 nonzeros (Min)
Model fingerprint: 0x6f3d710e
Model has 20 linear objective coefficients
Variable types: 6720 continuous, 6996 integer (6996 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+04]
  Objective range  [1e+03, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]

Presolve removed 3200 rows and 1600 columns
Presolve time: 0.19s
Presolved: 11140 rows, 12116 columns, 56836 nonzeros
Variable types: 5120 continuous, 6996 integer (6996 binary)
Found heuristic solution: objective 28000.000000

Root relaxation: objective 2.019990e+03, 19992 iterations, 4.18 seconds (3.93 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2019.99044    0   44 28000.0000 2019.99044  92.8%     -    4s
H    0     0                    25000.000000 2019.99044  91.9%     -    4s
     0     0 2019.99044    0   44 25000.0000 2019.99044  91.9%     -    5s
H    0     0                    21000.000000 2019.99044  90.4%     -    5s
     0     0 2019.99044    0  153 21000.0000 2019.99044  90.4%     -    8s
     0     0 2235.96114    0  305 21000.0000 2235.96114  89.4%     -   15s
     0     0 2423.10506    0  375 21000.0000 2423.10506  88.5%     -   19s
     0     0 2603.05612    0  351 21000.0000 2603.05612  87.6%     -   26s
     0     0 2622.08336    0  277 21000.0000 2622.08336  87.5%     -   27s
     0     0 2667.75359    0  297 21000.0000 2667.75359  87.3%     -   29s
     0     0 2695.57643    0  401 21000.0000 2695.57643  87.2%     -   32s
     0     0 2695.58225    0  370 21000.0000 2695.58225  87.2%     -   32s
     0     0 2713.34666    0  407 21000.0000 2713.34666  87.1%     -   36s
     0     0 2716.58185    0  418 21000.0000 2716.58185  87.1%     -   36s
     0     0 2716.58185    0  314 21000.0000 2716.58185  87.1%     -   37s
     0     0 2716.63452    0  376 21000.0000 2716.63452  87.1%     -   41s
     0     0 2716.63452    0  293 21000.0000 2716.63452  87.1%     -   42s
     0     0 2717.27835    0  491 21000.0000 2717.27835  87.1%     -   47s
     0     0 2717.27835    0  491 21000.0000 2717.27835  87.1%     -   52s
     0     0 2717.27835    0  491 21000.0000 2717.27835  87.1%     -   61s
     0     0 2717.27835    0  491 21000.0000 2717.27835  87.1%     -   68s
     0     0 2717.27835    0  491 21000.0000 2717.27835  87.1%     -   73s
     0     0 2717.27835    0  541 21000.0000 2717.27835  87.1%     -   73s
     0     0 2717.27835    0  462 21000.0000 2717.27835  87.1%     -   76s
     0     0 2721.83592    0  462 21000.0000 2721.83592  87.0%     -   76s
     0     0 2721.83592    0  104 21000.0000 2721.83592  87.0%     -   78s
     0     2 2721.83592    0  100 21000.0000 2721.83592  87.0%     -   81s
     3     8 2721.83592    2  414 21000.0000 2721.83592  87.0%   766   88s
    11    18 2781.78472    4  313 21000.0000 2721.83592  87.0%  2593   96s
    21    26 3500.80413    5  236 21000.0000 2721.83592  87.0%  5220  113s
    25    31 2928.51217    6  451 21000.0000 2721.83592  87.0%  6072  117s
    30    36 3345.77288    6  263 21000.0000 2721.83592  87.0%  7076  121s
H   31    36                    11000.000000 2721.83592  75.3%  6848  121s
    41    46 3490.00458    7  243 11000.0000 2721.83592  75.3%  7294  127s
    65    82 3490.00458   13  157 11000.0000 2721.83592  75.3%  5329  131s
H  103   101                    9000.0000000 2721.83592  69.8%  3533  134s
   106   109 5000.00000   24   47 9000.00000 2721.83592  69.8%  3460  135s
   240   257 5000.00000   77   41 9000.00000 2721.83592  69.8%  1627  140s
   346   360 5000.00000  121   48 9000.00000 2721.83592  69.8%  1230  146s
   373   388 5000.00000  134   59 9000.00000 2721.83592  69.8%  1204  154s
   401   392 5000.00000  146   39 9000.00000 2721.83592  69.8%  1189  155s
H  422   419                    8000.0000000 2721.83592  66.0%  1173  158s
   483   521 5000.00000  177   58 8000.00000 2721.83592  66.0%  1067  160s
   574   545 3420.40454    4  174 8000.00000 2721.83592  66.0%   965  167s
H  577   543                    7000.0000000 2721.83592  61.1%   961  167s
   610   609 4137.98011    6   83 7000.00000 2721.83592  61.1%   929  170s
   746   770 3545.67493    8  203 7000.00000 2721.83592  61.1%   798  184s
   817   824 3557.29967   17  119 7000.00000 2721.83592  61.1%   774  192s
   873   871 5000.00000   23   50 7000.00000 2721.83592  61.1%   763  195s
   920   911 5000.00000   24   34 7000.00000 2721.83592  61.1%   733  203s
   974   919 5000.00000   27   49 7000.00000 2721.83592  61.1%   717  205s
