instance,model,status,status_label,objective,best_bound,gap,sol_count,runtime_seconds,wall_seconds,node_count,explored_nodes_log,simplex_iterations,barrier_iterations,root_relaxation_objective,root_relaxation_iterations,root_relaxation_seconds,presolve_time_seconds,presolve_rows_removed,presolve_cols_removed,cuts_total,cuts_breakdown,num_vars,num_bin_vars,num_int_vars,num_cont_vars,num_constrs,is_mip,error
Inst_01_Easy_Phantom,ribeiro,9,TIME_LIMIT,3400.0,1000.0,0.7058823529411765,10,1800.0063910484314,1800.037,2446950.0,2446950,164190923.0,0,0.0,126,0.0,0.03,120,6,99,"{""Learned"": 5, ""Cover"": 9, ""Implied bound"": 3, ""Projected implied bound"": 3, ""Clique"": 2, ""MIR"": 9, ""StrongCG"": 1, ""Flow cover"": 31, ""GUB cover"": 5, ""Inf proof"": 15, ""RLT"": 3, ""Relax-and-lift"": 13}",294,243,262,32,844,True,
Inst_01_Easy_Phantom,drone_index,2,OPTIMAL,3400.0,3400.0,0.0,3,177.59581184387207,177.729,2182.0,2182,1088379.0,0,1402.556,12097,1.25,0.09,1440,720,221,"{""Cover"": 16, ""Implied bound"": 20, ""Projected implied bound"": 1, ""Clique"": 11, ""MIR"": 21, ""Flow cover"": 33, ""GUB cover"": 3, ""Zero half"": 1, ""RLT"": 6, ""BQP"": 7, ""Lazy"": 102}",5919,3039,3039,2880,6279,True,
Inst_01_Easy_Phantom,station_copies,2,OPTIMAL,3400.0,3400.0,0.0,9,135.9053909778595,136.149,12797.0,12797,1504931.0,0,1460.644,5482,0.3,0.08,3312,1428,592,"{""Cover"": 15, ""Implied bound"": 190, ""Projected implied bound"": 3, ""Clique"": 2, ""MIR"": 209, ""Flow cover"": 116, ""Network"": 1, ""RLT"": 16, ""Relax-and-lift"": 32, ""BQP"": 8}",5871,1959,1959,3912,6084,True,
Inst_02_Easy_Inspire,ribeiro,9,TIME_LIMIT,5000.0,0.0,1.0,7,1800.0046899318695,1800.033,2175854.0,2175854,125014785.0,0,0.0,118,0.0,0.03,120,6,52,"{""Gomory"": 2, ""Implied bound"": 12, ""Projected implied bound"": 4, ""Clique"": 1, ""MIR"": 3, ""Mixing"": 2, ""Flow cover"": 26, ""Zero half"": 1, ""RLT"": 1}",294,243,262,32,844,True,
Inst_02_Easy_Inspire,drone_index,2,OPTIMAL,5000.0,5000.0,0.0,3,233.7745759487152,233.905,17163.0,17163,1860308.0,0,1742.46,9717,0.84,0.08,1440,720,195,"{""Cover"": 55, ""Implied bound"": 19, ""Clique"": 48, ""MIR"": 7, ""Flow cover"": 32, ""Flow path"": 1, ""GUB cover"": 1, ""RLT"": 4, ""Relax-and-lift"": 1, ""BQP"": 5, ""Lazy"": 22}",5919,3039,3039,2880,6279,True,
Inst_02_Easy_Inspire,station_copies,2,OPTIMAL,5000.0,5000.0,0.0,5,244.380863904953,244.493,43388.0,43388,3694936.0,0,1776.751,5324,0.27,0.05,3312,1428,585,"{""Gomory"": 6, ""Cover"": 47, ""Implied bound"": 191, ""Projected implied bound"": 1, ""Dual implied bound"": 2, ""MIR"": 144, ""Flow cover"": 152, ""Inf proof"": 4, ""Zero half"": 2, ""Network"": 2, ""RLT"": 8, ""Relax-and-lift"": 26}",5871,1959,1959,3912,6084,True,
Inst_03_Easy_Phantom,ribeiro,9,TIME_LIMIT,3400.0,2000.0,0.4117647058823529,8,1800.0083920955658,1800.035,2462927.0,2462927,151495639.0,0,0.0,121,0.0,0.03,120,6,182,"{""Learned"": 7, ""Cover"": 4, ""Implied bound"": 6, ""Projected implied bound"": 11, ""Dual implied bound"": 2, ""Clique"": 2, ""MIR"": 14, ""Flow cover"": 50, ""GUB cover"": 6, ""Inf proof"": 62, ""Zero half"": 1, ""RLT"": 1, ""Relax-and-lift"": 16}",294,243,262,32,844,True,
Inst_03_Easy_Phantom,drone_index,2,OPTIMAL,3400.0,3400.0,0.0,4,303.992182970047,304.257,14090.0,14090,2808025.0,0,1341.114,12330,1.46,0.18,1440,720,412,"{""Gomory"": 1, ""Cover"": 67, ""Implied bound"": 34, ""Projected implied bound"": 6, ""Clique"": 35, ""MIR"": 19, ""Flow cover"": 84, ""GUB cover"": 11, ""Inf proof"": 2, ""RLT"": 6, ""Relax-and-lift"": 1, ""BQP"": 6, ""Lazy"": 140}",5919,3039,3039,2880,6279,True,
Inst_03_Easy_Phantom,station_copies,2,OPTIMAL,3400.0,3400.0,0.0,6,255.52780604362488,255.768,40464.0,40464,3569012.0,0,1359.71,4753,0.22,0.1,3312,1428,713,"{""Gomory"": 2, ""Cover"": 53, ""Implied bound"": 238, ""Projected implied bound"": 4, ""MIR"": 221, ""Flow cover"": 125, ""Inf proof"": 10, ""Network"": 1, ""RLT"": 20, ""Relax-and-lift"": 36, ""BQP"": 3}",5871,1959,1959,3912,6084,True,
Inst_04_Easy_Inspire,ribeiro,9,TIME_LIMIT,7000.0,1000.0,0.8571428571428571,6,1800.0054111480713,1800.056,2030152.0,2030152,137555268.0,0,0.0,113,0.0,0.05,120,6,145,"{""Learned"": 1, ""Gomory"": 1, ""Implied bound"": 13, ""Projected implied bound"": 6, ""Dual implied bound"": 2, ""Clique"": 2, ""MIR"": 10, ""Mixing"": 4, ""Flow cover"": 61, ""GUB cover"": 4, ""Inf proof"": 24, ""Zero half"": 1, ""RLT"": 2, ""Relax-and-lift"": 14}",294,243,262,32,844,True,
Inst_04_Easy_Inspire,drone_index,9,TIME_LIMIT,6000.0,5000.0,0.16666666666666666,4,1800.1477358341217,1800.281,453798.0,453798,62208127.0,0,2592.115,10164,0.96,0.08,1440,720,456,"{""Cover"": 10, ""Implied bound"": 16, ""Projected implied bound"": 1, ""Clique"": 4, ""MIR"": 21, ""StrongCG"": 1, ""Flow cover"": 52, ""GUB cover"": 1, ""Inf proof"": 1, ""Zero half"": 3, ""RLT"": 2, ""Relax-and-lift"": 3, ""Lazy"": 341}",5919,3039,3039,2880,6279,True,
Inst_04_Easy_Inspire,station_copies,9,TIME_LIMIT,6000.0,5000.0,0.16666666666666666,7,1800.0236670970917,1800.264,169802.0,169802,29664246.0,0,2622.076,4380,0.2,0.05,3312,1428,816,"{""Gomory"": 9, ""Lift-and-project"": 1, ""Cover"": 11, ""Implied bound"": 225, ""Projected implied bound"": 3, ""MIR"": 272, ""Flow cover"": 231, ""GUB cover"": 4, ""Inf proof"": 2, ""RLT"": 12, ""Relax-and-lift"": 46}",5871,1959,1959,3912,6084,True,
Inst_05_Easy_Phantom,ribeiro,9,TIME_LIMIT,5600.0,2000.0,0.6428571428571429,7,1800.008108139038,1800.065,2502975.0,2502975,143632820.0,0,0.0,144,0.01,0.07,122,6,194,"{""Learned"": 3, ""Gomory"": 2, ""Cover"": 13, ""Implied bound"": 11, ""Projected implied bound"": 9, ""Clique"": 4, ""MIR"": 18, ""StrongCG"": 3, ""Flow cover"": 42, ""GUB cover"": 12, ""Inf proof"": 54, ""Zero half"": 3, ""RLT"": 1, ""Relax-and-lift"": 19}",294,243,262,32,844,True,
Inst_05_Easy_Phantom,drone_index,9,TIME_LIMIT,4600.0,3400.0,0.2608695652173913,8,1800.0040030479431,1800.137,246778.0,246778,49069663.0,0,1488.492,12340,1.78,0.09,1440,720,622,"{""Gomory"": 1, ""Cover"": 10, ""Implied bound"": 33, ""Projected implied bound"": 2, ""Clique"": 3, ""MIR"": 11, ""Flow cover"": 37, ""GUB cover"": 1, ""Inf proof"": 4, ""Zero half"": 1, ""Lazy"": 519}",5919,3039,3039,2880,6279,True,
Inst_05_Easy_Phantom,station_copies,9,TIME_LIMIT,4600.0,3600.0,0.21739130434782608,9,1800.0362031459808,1800.217,181022.0,181022,25318104.0,0,1527.828,4822,0.24,0.05,3312,1428,1173,"{""Gomory"": 2, ""Cover"": 11, ""Implied bound"": 400, ""Clique"": 2, ""MIR"": 393, ""Flow cover"": 239, ""GUB cover"": 3, ""Inf proof"": 46, ""Zero half"": 1, ""RLT"": 22, ""Relax-and-lift"": 49, ""BQP"": 5}",5871,1959,1959,3912,6084,True,
Inst_06_Medium_Phantom_16,ribeiro,9,TIME_LIMIT,4600.0,1000.0,0.782608695652174,10,1800.0077819824219,1800.091,946989.0,946989,112469209.0,0,0.0,174,0.01,0.09,202,7,178,"{""Learned"": 3, ""Cover"": 3, ""Implied bound"": 7, ""Projected implied bound"": 6, ""MIR"": 13, ""Mixing"": 2, ""Flow cover"": 60, ""GUB cover"": 3, ""Inf proof"": 29, ""Zero half"": 1, ""RLT"": 2, ""Relax-and-lift"": 49}",491,424,449,42,1464,True,
Inst_06_Medium_Phantom_16,drone_index,9,TIME_LIMIT,4600.0,3400.0,0.2608695652173913,10,1800.016487121582,1800.417,47156.0,47156,21036651.0,0,1509.431,26928,6.49,0.18,3200,1600,2125,"{""Cover"": 45, ""Implied bound"": 20, ""Projected implied bound"": 5, ""Clique"": 19, ""MIR"": 21, ""Flow cover"": 85, ""Flow path"": 2, ""GUB cover"": 5, ""Zero half"": 10, ""RLT"": 6, ""Relax-and-lift"": 5, ""BQP"": 13, ""Lazy"": 1889}",13716,6996,6996,6720,14340,True,
Inst_06_Medium_Phantom_16,station_copies,9,TIME_LIMIT,4600.0,3000.0,0.34782608695652173,10,1800.0127441883087,1800.325,17403.0,17403,17085984.0,0,1637.245,12721,2.44,0.11,9696,4320,831,"{""Gomory"": 2, ""Cover"": 11, ""Implied bound"": 352, ""Projected implied bound"": 2, ""Clique"": 2, ""MIR"": 241, ""Flow cover"": 176, ""GUB cover"": 1, ""Inf proof"": 1, ""Zero half"": 1, ""Network"": 1, ""RLT"": 14, ""Relax-and-lift"": 5, ""BQP"": 22}",16564,5524,5524,11040,16912,True,
Inst_07_Medium_Inspire_16,ribeiro,9,TIME_LIMIT,6000.0,0.0,1.0,9,1800.0047149658203,1800.046,899856.0,899856,100040168.0,0,0.0,186,0.0,0.05,195,7,10,"{""Learned"": 2, ""Implied bound"": 1, ""Projected implied bound"": 2, ""MIR"": 1, ""Flow cover"": 2, ""Relax-and-lift"": 2}",491,424,449,42,1464,True,
Inst_07_Medium_Inspire_16,drone_index,2,OPTIMAL,5000.0,4999.999999999855,2.892193151637912e-14,9,1304.322508096695,1304.617,5187.0,5187,3054973.0,0,2019.99,19992,4.18,0.19,3200,1600,829,"{""Cover"": 118, ""Implied bound"": 34, ""Projected implied bound"": 5, ""Clique"": 58, ""MIR"": 70, ""Flow cover"": 292, ""GUB cover"": 16, ""RLT"": 12, ""Relax-and-lift"": 6, ""BQP"": 9, ""Lazy"": 209}",13716,6996,6996,6720,14340,True,
